Where,Projects,Location,Rule,Status,PR,PR Status
commit,ankitagrawa/foodOrderRestaurantApp,https://github.com/ankitagrawa/foodOrderRestaurantApp/blob/6010d68307f89e6eaa4bcc7c3738e28a612857bd/finish/food/src/main/java/io/openliberty/guides/food/FoodResource.java#L30,@Outgoing on method --> @ApplicationScoped | @Dependent on class,fixed,,
commit,ankitagrawa/foodOrderRestaurantApp,https://github.com/ankitagrawa/foodOrderRestaurantApp/blob/6010d68307f89e6eaa4bcc7c3738e28a612857bd/finish/food/src/main/java/io/openliberty/guides/food/FoodResource.java#L37,@Incoming on method --> @ApplicationScoped | @Dependent on class,fixed,,
project,Proprietary-project1,NA,@Outgoing on method --> @ApplicationScoped | @Dependent on class,not fixed,NA,
commit,eclipse/microprofile-sandbox,https://github.com/eclipse/microprofile-sandbox/blob/78463809e785620528fe0ef094a8ee11b82c40e0/proposals/graphql/tck/src/main/java/org/eclipse/microprofile/graphql/tck/apps/placeholder/Character.java#L38,@Query --> @GraphQLApi,fixed,,
project,Edwino0708/jersy-java,https://github.com/Edwino0708/jersy-java/blob/master/backend/src/main/java/com/api/backend/SampleResource.java#L13,@ConfigProperty --> @Inject on field,not fixed,https://github.com/Edwino0708/jersy-java/pull/1,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
commit,Proprietary-project2,NA,@ConfigProperty --> @Inject on field,fixed,,
project,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/master/src/main/java/de/egladil/web/checklistenserver/service/TokenExchangeService.java#L38,@ConfigProperty --> @Inject on field,not fixed,https://github.com/heike2718/checklistenserver/pull/31,
project,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/master/src/main/java/de/egladil/web/checklistenserver/service/TokenExchangeService.java#L41,@ConfigProperty --> @Inject on field,not fixed,https://github.com/heike2718/checklistenserver/pull/31,
project,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/master/src/main/java/de/egladil/web/checklistenserver/endpoints/LogResource.java#L33,@ConfigProperty --> @Inject on field,not fixed,https://github.com/heike2718/checklistenserver/pull/31,
project,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/master/src/main/java/de/egladil/web/checklistenserver/config/PacklisteTemplate.java#L20,@ConfigProperty --> @Inject on field,not fixed,https://github.com/heike2718/checklistenserver/pull/31,
project,heike2718/checklistenserver,https://github.com/heike2718/checklistenserver/blob/master/src/main/java/de/egladil/web/checklistenserver/endpoints/VersionResource.java#L27,@ConfigProperty --> @Inject on field,not fixed,https://github.com/heike2718/checklistenserver/pull/31,
